"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","ONI","ONI_C","ONI_sub","semeadura","ano_semeadura","colheita","ano_colheita","anom.1","anom.2","anom.3","anom.4","anom.5","anom.6","fo_grupo","fs_grupo","predito"
"1",1,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","BRSMG Majestoso","chc",2,2013-12-18,2014-03-18,"13/14",0.1,0.1,NA,0.1,NA,0.1,0.1,0.5,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"2",2,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",3,2013-12-18,2014-03-18,"13/14",0.1,0.1,NA,0.1,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"3",3,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",1,2014-12-15,2015-03-15,"14/15",0.2,0.2,0.4,0.6,1,NA,4,NA,NA,0.2,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Muito Tolerante","Muito Tolerante","Neutro"
"4",4,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",1,2017-12-15,2018-03-15,"17/18",1,4.5,7,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,3,3,3.5,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"5",5,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Campeiro","p",1,2017-12-15,2018-03-15,"17/18",0.1,0.8,1,1,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.4,0.4,0.4,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"6",6,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",1,2017-12-15,2018-03-15,"17/18",0.1,0.8,1,1.5,NA,NA,NA,NA,NA,0.2,0.5,1,1,1,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"7",7,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",1,2017-12-15,2018-03-15,"17/18",2,7,7.5,NA,NA,NA,NA,NA,NA,0.1,0.2,4,5,5.5,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Tolerante","Neutro"
"8",8,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",1,2017-12-15,2018-03-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"9",9,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",1,2017-12-15,2018-03-15,"17/18",0.2,1.2,2.5,2.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"10",10,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FS 305","calima",1,2017-12-15,2018-03-15,"17/18",1.5,3.5,5.5,NA,NA,NA,NA,NA,NA,0.1,0.1,1.5,2,3,5,5,5,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
