"","...1","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_FO","Mediana_FO","Desvio_FO","Cv_FO","Nao_Nulos_Fo","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_FS","Mediana_FS","Desvio_FS","Cv_FS","Nao_Nulos_Fs"
"1",142,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",2,2019-12-17,"18/19",0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",148,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",2,2019-12-17,"18/19",0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",156,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Madrep<e9>rola","chc",2,2019-12-17,"18/19",0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4",137,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2019-12-17,"18/19",0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3
"5",155,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",2,2019-12-17,"18/19",0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6",162,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Veloz","p",2,2019-12-17,"18/19",0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7",615,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",1,2019-12-23,"19/20",3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,1,NA,0,NA,0,NA,0.5,0.5,NA,0.8,NA,NA,0.36,0.5,0.350713558335004,97.4204328708344,5
"8",656,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",2,2019-12-23,"19/20",1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,1,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,5
"9",702,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",4,2019-12-23,"19/20",2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,1,NA,0,NA,1.5,NA,2,2,NA,3,NA,NA,1.7,2,1.09544511501033,64.4379479417842,5
"10",130,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",1,2019-12-17,"18/19",0.5,0.8,1,1,NA,NA,NA,NA,NA,0.825,0.9,0.23629078131263,28.6413068257734,4,0.2,0.2,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.35,0.35,0.16431676725155,46.9476477861571,6
