"local";"cidade";"estado";"fungicida";"irrigacao";"genotipo";"tipo_de_grao";"repeticao";"data_semeadura";"FO";"FS";"safra";"id_ensaio"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"45/57-7-3-1/4";"chc";1;"15/12/14";4,6;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"49/61-1/2";"chc";1;"15/12/14";7,2;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"ANFc9";"chc";1;"15/12/14";5,6;1,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BolaCheia";"chc";1;"15/12/14";4;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSAmetista";"chc";1;"15/12/14";2,8;1,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSCampeiro";"p";1;"15/12/14";10;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSEsteio";"p";1;"15/12/14";5;0,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSEstilo";"chc";1;"15/12/14";8,2;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSMGMadreperola";"chc";1;"15/12/14";8,4;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSNotavel";"chc";1;"15/12/14";2,2;1,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSMGMajestoso";"chc";1;"15/12/14";6,4;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSMGRealce";"ra";1;"15/12/14";3,8;4,5;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"C10-2-16/8";"chc";1;"15/12/14";2,8;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"C10-2-4/41";"chc";1;"15/12/14";6;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"FAPF3RC2-2";"chc";1;"15/12/14";2,4;3,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"FAP-F3-2";"chc";1;"15/12/14";1,8;3,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IACImperador";"chc";1;"15/12/14";8,8;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IACMilenio";"chc";1;"15/12/14";4,4;1,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPR139";"chc";1;"15/12/14";5,8;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRAndorinha";"chc";1;"15/12/14";9,4;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRBem-te-vi";"chc";1;"15/12/14";8;0,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRCamposGerais";"chc";1;"15/12/14";9;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRJuriti";"chc";1;"15/12/14";2,6;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRQuero-quero";"chc";1;"15/12/14";4,4;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRTangara";"chc";1;"15/12/14";1,6;1,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRTuiuiu";"p";1;"15/12/14";1,8;1,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRUirapuru";"p";1;"15/12/14";5,4;4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"PR10-4-4/24";"p";1;"15/12/14";4,8;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"SelecaoIV";"chc";1;"15/12/14";9,4;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"TAADama";"chc";1;"15/12/14";3,6;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"TAAGol";"chc";1;"15/12/14";9,8;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"TAALBA05";"chc";1;"15/12/14";5,4;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"UEMAwauna";"p";1;"15/12/14";4,2;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"UEMFlorDiniz";"chc";1;"15/12/14";7,8;1,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSCampeiro";"p";2;"15/12/14";9,2;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"C10-2-16/8";"chc";2;"15/12/14";3,6;1,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"UEMAwauna";"p";2;"15/12/14";6,8;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"49/61-1/2";"chc";2;"15/12/14";3;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"PR10-4-4/24";"p";2;"15/12/14";2;2,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRTangara";"chc";2;"15/12/14";1,6;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSMGRealce";"ra";2;"15/12/14";8,6;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"SelecaoIV";"chc";2;"15/12/14";8;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"TAALBA05";"chc";2;"15/12/14";2,8;2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRBem-te-vi";"chc";2;"15/12/14";6,6;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRAndorinha";"chc";2;"15/12/14";9,6;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSNotavel";"chc";2;"15/12/14";6,6;1,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPR139";"chc";2;"15/12/14";4,2;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"FAP-F3-2";"chc";2;"15/12/14";5,4;1,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"45/57-7-3-1/4";"chc";2;"15/12/14";3,4;1,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSAmetista";"chc";2;"15/12/14";2,6;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"TAAGol";"chc";2;"15/12/14";8,8;1,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"C10-2-4/41";"chc";2;"15/12/14";6,8;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
