"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"1",344,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"2",345,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFp119","p",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"3",346,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"4",347,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Estilo","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"5",348,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 104","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"6",349,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"7",350,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FP 403","p",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"8",351,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","GEN 49-4-4 DA 940","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"9",352,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1849","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"10",353,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1850","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"11",354,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 2051","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"12",355,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC Veloz","p",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
