"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"1",923,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esplendor","p",1,2015-12-14,"15/16","0.4",NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,NA,NA,923,"4.4","6.2","6.2","6.2","6.2","6.2","6.2","8.6",NA,NA,NA,6.275,6.2,1.13105513317686,18.0247829988343
"2",924,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",1,2015-12-14,"15/16","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,924,"0.2","0.2","0.2","0.2","0.2","0.2","0.2","3.6",NA,NA,NA,0.625,0.2,1.20208152801713,192.333044482741
"3",925,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Realce","ra",1,2015-12-14,"15/16","0.5",NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,925,"3.2","4.8","5.4","5.4","6","6","9","9.5",NA,NA,NA,6.1625,5.7,2.10573197317634,34.1700928710157
"4",926,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA LBA08","chc",1,2015-12-14,"15/16","0.6",NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,NA,NA,926,"2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,NA,NA
"5",927,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",2,2015-12-14,"15/16","0.4",NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,NA,NA,927,"0.6","0.8","1.2","1.2","1.2","1.2","1.2","4.2",NA,NA,NA,1.45,1.2,1.1351526014468,78.2863863066756
"6",928,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",2,2015-12-14,"15/16","0.5",NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,928,"3.6","4.2","5.4","5.4","5.4","5.4","5.4","8",NA,NA,NA,5.35,5.4,1.27727388270041,23.874278181316
"7",929,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",3,2015-12-14,"15/16","0.6",NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,NA,NA,929,"0.8","0.8","0.8","0.8","0.8","0.8","0.8","4.8",NA,NA,NA,1.3,0.8,1.41421356237309,108.785658644084
"8",930,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a","b",3,2015-12-14,"15/16","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,930,"2.6","3.2","6.4","6.4","6.4","6.4","8.8","9.8",NA,NA,NA,6.25,6.4,2.44423520027957,39.1077632044731
"9",931,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","Bola Cheia","chc",3,2015-12-14,"15/16","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,931,"0.4","0.4","0.4","0.4","0.4","0.4","0.4","3",NA,NA,NA,0.725,0.4,0.919238815542512,126.791560764484
"10",932,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a","b",4,2015-12-14,"15/16","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,932,"3.4","4.2","6.6","6.6","6.6","6.6","6.6","9.8",NA,NA,NA,6.3,6.6,1.90937536532613,30.3075454813671
